#options: 1024x576 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=2 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=21.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=1000 vbv_bufsize=2000 crf_max=0.0 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:33 out:33 type:B dur:2 cpbdur:2 q:26.26 aq:20.10 tex:5785 mv:2274 misc:757 imb:7 pmb:263 smb:2034 d:- ref:0 ;
in:32 out:34 type:b dur:2 cpbdur:2 q:26.26 aq:20.31 tex:2605 mv:1473 misc:610 imb:4 pmb:185 smb:2115 d:- ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:26.26 aq:18.27 tex:2628 mv:1327 misc:573 imb:1 pmb:173 smb:2130 d:- ref:0 ;
in:38 out:36 type:P dur:2 cpbdur:2 q:26.26 aq:17.37 tex:52845 mv:3860 misc:1423 imb:47 pmb:610 smb:1647 d:- ref:0 ;
in:36 out:37 type:B dur:2 cpbdur:2 q:26.26 aq:20.43 tex:5082 mv:2303 misc:895 imb:4 pmb:303 smb:1997 d:- ref:0 ;
in:37 out:38 type:b dur:2 cpbdur:2 q:26.26 aq:20.04 tex:2375 mv:1446 misc:627 imb:0 pmb:190 smb:2114 d:- ref:0 ;
in:42 out:39 type:P dur:2 cpbdur:2 q:26.26 aq:16.69 tex:41890 mv:3706 misc:1284 imb:48 pmb:562 smb:1694 d:- ref:0 ;
in:40 out:40 type:B dur:2 cpbdur:2 q:26.26 aq:20.41 tex:5792 mv:2427 misc:861 imb:6 pmb:301 smb:1997 d:- ref:0 ;
in:39 out:41 type:b dur:2 cpbdur:2 q:26.26 aq:21.46 tex:2311 mv:1441 misc:688 imb:1 pmb:200 smb:2103 d:- ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:26.26 aq:19.35 tex:2475 mv:1526 misc:663 imb:0 pmb:201 smb:2103 d:- ref:0 ;
